problem,topology,epochs,train_loss,test_loss,train_accuracy,test_accuracy,functions
Easy,2-8-1,100,0.307820,0.222819,0.853750,0.910000,evolution result (functions not fixed)
Easy,2-8-1,100,0.303893,0.201752,0.857500,0.915000,gelu:gelu:identity:silu:silu:identity:identity:gelu
Medium,2-8-8-1,150,0.407438,0.402594,0.848750,0.895000,evolution result (functions not fixed)
Medium,2-8-8-1,150,0.142909,0.155492,0.987500,0.985000,gelu:silu:identity:relu:gelu:identity:silu:tanh|gelu:silu:silu:identity:gelu:relu:silu:silu
Hard,6-16-16-1,250,0.692444,0.737179,0.533750,0.505000,evolution result (functions not fixed)
Hard,6-16-16-1,250,0.682560,0.694546,0.552500,0.515000,identity:tanh:silu:relu:sigmoid:tanh:silu:tanh:sigmoid:relu:identity:gelu:silu:silu:tanh:tanh|silu:silu:silu:tanh:relu:sigmoid:identity:tanh:relu:gelu:sigmoid:silu:gelu:identity:relu:relu
