problem,topology,epochs,train_loss,test_loss,train_accuracy,test_accuracy,functions
Easy,2-8-1,100,0.306109,0.226421,0.853750,0.920000,evolution result (functions not fixed)
Easy,2-8-1,100,0.297160,0.210185,0.860000,0.920000,relu:identity:identity:gelu:identity:identity:silu:tanh
Medium,2-8-8-1,150,0.369890,0.394907,0.883750,0.850000,evolution result (functions not fixed)
Medium,2-8-8-1,150,0.178475,0.208871,0.982500,0.950000,tanh:identity:gelu:identity:identity:tanh:tanh:gelu|tanh:gelu:gelu:gelu:silu:gelu:gelu:sigmoid
Hard,6-16-16-1,250,0.686105,0.693779,0.522500,0.460000,evolution result (functions not fixed)
Hard,6-16-16-1,250,0.683538,0.693319,0.528750,0.555000,identity:gelu:sigmoid:identity:relu:gelu:relu:tanh:gelu:identity:sigmoid:identity:relu:relu:silu:gelu|tanh:tanh:gelu:sigmoid:silu:tanh:tanh:sigmoid:silu:silu:silu:tanh:relu:silu:sigmoid:silu
